Compared 252 tensors against PTQ(base).
tensor                                                                  cos_mean   cos_std   cos_min   cos_max
  model.layers.31.mlp.down_proj.weight                                    0.7976    0.0049    0.7427    0.8068
  model.layers.31.mlp.gate_proj.weight                                    0.7980    0.0069    0.6323    0.8151
  model.layers.31.mlp.up_proj.weight                                      0.7980    0.0061    0.6643    0.8129
  model.layers.31.self_attn.k_proj.weight                                 0.7892    0.0161    0.6849    0.8103
  model.layers.31.self_attn.o_proj.weight                                 0.7972    0.0045    0.7317    0.8166
  model.layers.31.self_attn.q_proj.weight                                 0.7942    0.0133    0.5992    0.8160
  model.layers.31.self_attn.v_proj.weight                                 0.7839    0.0143    0.7427    0.8097
  model.layers.32.mlp.down_proj.weight                                    0.7973    0.0059    0.6765    0.8063
  model.layers.32.mlp.gate_proj.weight                                    0.7975    0.0069    0.6769    0.8197
  model.layers.32.mlp.up_proj.weight                                      0.7978    0.0071    0.4303    0.8160
  model.layers.32.self_attn.k_proj.weight                                 0.7897    0.0185    0.6905    0.8118
  model.layers.32.self_attn.o_proj.weight                                 0.7971    0.0039    0.7698    0.8094
  model.layers.32.self_attn.q_proj.weight                                 0.7917    0.0174    0.5669    0.8561
  model.layers.32.self_attn.v_proj.weight                                 0.7823    0.0191    0.7294    0.8095
  model.layers.33.mlp.down_proj.weight                                    0.7968    0.0096    0.4741    0.8065
  model.layers.33.mlp.gate_proj.weight                                    0.7969    0.0076    0.6093    0.8304
  model.layers.33.mlp.up_proj.weight                                      0.7975    0.0071    0.6007    0.8142
  model.layers.33.self_attn.k_proj.weight                                 0.7891    0.0142    0.7208    0.8091
  model.layers.33.self_attn.o_proj.weight                                 0.7969    0.0049    0.6958    0.8091
  model.layers.33.self_attn.q_proj.weight                                 0.7900    0.0170    0.5965    0.8130
  model.layers.33.self_attn.v_proj.weight                                 0.7822    0.0121    0.7548    0.8089
  model.layers.34.mlp.down_proj.weight                                    0.7945    0.0101    0.6519    0.8049
  model.layers.34.mlp.gate_proj.weight                                    0.7968    0.0078    0.6765    0.8382
  model.layers.34.mlp.up_proj.weight                                      0.7972    0.0088    0.2887    0.8184
  model.layers.34.self_attn.k_proj.weight                                 0.7914    0.0149    0.7051    0.8137
  model.layers.34.self_attn.o_proj.weight                                 0.7966    0.0042    0.7401    0.8282
  model.layers.34.self_attn.q_proj.weight                                 0.7921    0.0152    0.6134    0.8525
  model.layers.34.self_attn.v_proj.weight                                 0.7846    0.0180    0.7317    0.8100
  model.layers.35.mlp.down_proj.weight                                    0.7880    0.0122    0.5776    0.7994
  model.layers.35.mlp.gate_proj.weight                                    0.7980    0.0073    0.7200    0.8617
  model.layers.35.mlp.up_proj.weight                                      0.7972    0.0062    0.7287    0.8369
  model.layers.35.self_attn.k_proj.weight                                 0.7954    0.0120    0.6045    0.8104
